size,puzzle_idx,correct,response_time,tokens
9,0,False,24.658829927444458,3329
9,1,False,14.664282083511353,2407
9,2,False,25.322154998779297,3329
9,3,False,26.684064149856567,3329
9,4,False,18.09515690803528,2662
9,5,False,27.594465017318726,3329
9,6,False,26.84816575050354,3329
9,7,False,21.618810892105103,2766
9,8,False,25.928169012069702,3329
9,9,False,24.641572952270508,3329
9,10,False,14.348716259002686,2228
9,11,False,24.545700073242188,3329
9,12,False,27.122537851333618,3329
9,13,False,26.176339149475098,3329
9,14,False,16.182796955108643,2396
9,15,False,22.956923246383667,2953
9,16,False,23.94860005378723,3050
9,17,False,25.03515601158142,3329
9,18,False,16.304251194000244,2618
9,19,False,23.882230043411255,3180
9,20,False,17.218330144882202,2650
9,21,False,27.54402804374695,3329
9,22,False,26.08378291130066,3329
9,23,False,17.10361075401306,2585
9,24,False,17.18632197380066,2425
9,25,False,25.27617621421814,3329
9,26,False,27.783503770828247,3329
9,27,False,20.136016845703125,2802
9,28,False,16.275118112564087,2361
9,29,False,13.943376779556274,2191
9,30,False,23.947763919830322,3223
9,31,False,25.542577028274536,3329
9,32,False,24.41329789161682,3329
9,33,False,11.398972034454346,1937
9,34,False,23.146301984786987,2994
9,35,False,23.883430004119873,3329
9,36,False,28.50816583633423,3329
9,37,False,29.04300594329834,3329
9,38,False,27.758130073547363,3329
9,39,False,14.782563924789429,2390
9,40,False,17.516520023345947,2752
9,41,False,27.75451421737671,3329
9,42,False,29.41596794128418,3329
9,43,False,26.04616093635559,2993
9,44,False,24.802857875823975,3329
9,45,False,24.50776505470276,3295
9,46,False,26.53968906402588,3329
9,47,False,16.11151123046875,2399
9,48,False,27.20890998840332,3329
9,49,False,25.081669807434082,3329
9,50,False,19.285444021224976,2674
9,51,False,16.710923194885254,2428
9,52,False,25.809898138046265,3329
9,53,False,20.381488800048828,2981
9,54,False,22.377737998962402,2946
9,55,False,15.466686964035034,2368
9,56,False,22.54930090904236,2737
9,57,False,25.104828357696533,3329
9,58,False,22.261664152145386,3057
9,59,False,22.73803210258484,3193
9,60,False,17.326423168182373,2506
9,61,False,16.488356113433838,2496
9,62,False,26.402175903320312,3329
9,63,False,29.549712896347046,3329
9,64,False,24.814754962921143,3155
9,65,False,23.24333906173706,3151
9,66,False,20.297120809555054,2950
9,67,False,13.62005877494812,2134
9,68,False,8.896074056625366,1817
9,69,False,13.008355617523193,2306
9,70,False,27.478226900100708,3329
9,71,False,23.64060401916504,3329
9,72,False,19.013113260269165,2716
9,73,False,24.78522491455078,3254
9,74,False,21.412204027175903,2992
9,75,False,27.249511241912842,3329
9,76,False,8.43142032623291,1819
9,77,False,26.424341917037964,3329
9,78,False,25.62881302833557,3112
9,79,False,23.97163701057434,2873
9,80,False,18.133212089538574,2679
9,81,False,23.242857933044434,3000
9,82,False,19.052738189697266,2771
9,83,False,22.140944957733154,3329
9,84,False,22.776164770126343,3169
9,85,False,26.831328868865967,3329
9,86,False,24.711084127426147,3329
9,87,False,10.590299129486084,1813
9,88,False,20.38859987258911,2589
9,89,False,18.94711208343506,2482
9,90,False,24.385031938552856,3229
9,91,False,29.812129020690918,3329
9,92,False,23.886014938354492,2981
9,93,False,24.383899211883545,3133
9,94,False,25.29607892036438,3329
9,95,False,24.722416877746582,3329
9,96,False,26.022403955459595,3329
9,97,False,25.65491485595703,3329
9,98,False,12.011077165603638,2149
9,99,False,23.28681492805481,2963
